user_id,address_id,is_default_address,created_at
USR00001,ADR00001,True,2026-01-21 19:14:11.779221
USR00002,ADR00001,True,2025-12-25 17:13:14.779221
USR00003,ADR00001,True,2026-02-16 20:01:19.779221
USR00005,ADR00001,True,2026-05-13 16:03:14.779221
USR00006,ADR00001,True,2026-05-09 22:32:08.779221
USR00007,ADR00001,True,2025-12-13 09:24:07.779221
USR00008,ADR00001,True,2025-12-22 05:01:46.779221
USR00009,ADR00001,True,2026-04-06 16:57:55.779221
USR00012,ADR00002,True,2026-06-02 14:48:03.779221
USR00013,ADR00002,True,2026-05-30 08:28:58.779221
USR00016,ADR00002,True,2026-03-02 10:58:49.779221
USR00018,ADR00002,True,2026-03-29 07:38:41.779221
USR00020,ADR00002,True,2026-02-03 19:05:18.779221
USR00021,ADR00002,True,2026-01-26 14:21:27.779221
USR00022,ADR00002,True,2026-04-26 11:47:27.779221
USR00024,ADR00002,True,2025-12-24 05:55:53.779221
USR00026,ADR00003,True,2025-12-31 04:44:13.779221
USR00028,ADR00003,True,2026-03-05 05:37:42.779221
USR00029,ADR00003,True,2026-04-16 06:02:41.779221
USR00030,ADR00003,True,2026-06-06 04:26:02.779221
USR00031,ADR00003,True,2026-03-03 07:17:13.779221
USR00034,ADR00003,True,2026-02-17 05:57:59.779221
USR00035,ADR00003,True,2025-12-12 08:48:53.779221
USR00036,ADR00003,True,2026-01-20 07:33:57.779221
USR00038,ADR00004,True,2026-04-15 09:25:34.779221
USR00039,ADR00004,True,2026-03-31 14:49:58.779221
USR00040,ADR00004,True,2026-04-04 15:14:47.779221
USR00041,ADR00004,True,2026-01-24 00:44:50.779221
USR00042,ADR00004,True,2026-04-12 15:45:24.779221
USR00043,ADR00004,True,2026-02-04 02:46:46.779221
USR00044,ADR00004,True,2025-12-13 23:20:58.779221
USR00045,ADR00004,True,2026-05-10 03:34:04.779221
USR00046,ADR00005,True,2026-02-21 00:21:10.779221
USR00048,ADR00005,True,2026-03-04 15:38:11.779221
